accession,gene,name
Q9NPD3,EXOSC4,Exosome complex component RRP41
Q9NTG1,PKDREJ,Polycystin family receptor for egg jelly
Q9NZT1,CALML5,Calmodulin-like protein 5
Q9UKN8,GTF3C4,General transcription factor 3C polypeptide 4
Q9UNE2,RPH3AL,Rab effector Noc2
Q9Y4E6,WDR7,WD repeat-containing protein 7
A0A075B6I3,IGLV11-55,Probable non-functional immunoglobulin lambda variable 11-55
A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37
A0A087WSY4,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2
A1Z1Q3,MACROD2,ADP-ribose glycohydrolase MACROD2
A6ND91,ASPDH,Aspartate dehydrogenase domain-containing protein
O00186,STXBP3,Syntaxin-binding protein 3
O00264,PGRMC1,Membrane-associated progesterone receptor component 1
O00429,DNM1L,Dynamin-1-like protein
O00442,RTCA,RNA 3'-terminal phosphate cyclase
O00468,AGRN,Agrin
O14594,NCAN,Neurocan core protein
O14793,MSTN,Growth/differentiation factor 8
O15232,MATN3,Matrilin-3
O43294,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2
O43529,CHST10,Carbohydrate sulfotransferase 10
O43707,ACTN4,Alpha-actinin-4
O43813,LANCL1,Glutathione S-transferase LANCL1
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2
O60268,KIAA0513,Uncharacterized protein KIAA0513
O60493,SNX3,Sorting nexin-3
O60701,UGDH,UDP-glucose 6-dehydrogenase
O60883,GPR37L1,G-protein coupled receptor 37-like 1
O75369,FLNB,Filamin-B
O75711,SCRG1,Scrapie-responsive protein 1
O75955,FLOT1,Flotillin-1
O76074,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase"
O94886,TMEM63A,Mechanosensitive cation channel TMEM63A
O95336,PGLS,6-phosphogluconolactonase
O95954,FTCD,Formimidoyltransferase-cyclodeaminase
O95967,EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2
O95969,SCGB1D2,Secretoglobin family 1D member 2
P00167,CYB5A,Cytochrome b5
P00367,GLUD1,"Glutamate dehydrogenase 1, mitochondrial"
P00387,CYB5R3,NADH-cytochrome b5 reductase 3
P00505,GOT2,"Aspartate aminotransferase, mitochondrial"
P00966,ASS1,Argininosuccinate synthase
P01762,IGHV3-11,Immunoglobulin heavy variable 3-11
P01893,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H"
P02458,COL2A1,Collagen alpha-1(II) chain
P02511,CRYAB,Alpha-crystallin B chain
P03971,AMH,Anti-Muellerian hormone
P04118,CLPS,Colipase
P04155,TFF1,Trefoil factor 1
P05164,MPO,Myeloperoxidase
P05388,RPLP0,Large ribosomal subunit protein uL10
P05997,COL5A2,Collagen alpha-2(V) chain
P06132,UROD,Uroporphyrinogen decarboxylase
P06737,PYGL,"Glycogen phosphorylase, liver form"
P07900,HSP90AA1,Heat shock protein HSP 90-alpha
P08123,COL1A2,Collagen alpha-2(I) chain
P08133,ANXA6,Annexin A6
P08263,GSTA1,Glutathione S-transferase A1
P08758,ANXA5,Annexin A5
P08865,RPSA,Small ribosomal subunit protein uS2
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal"
P09211,GSTP1,Glutathione S-transferase P
P09467,FBP1,"Fructose-1,6-bisphosphatase 1"
P09488,GSTM1,Glutathione S-transferase Mu 1
P0DP07,IGHV4-31,Immunoglobulin heavy variable 4-31
P10746,UROS,Uroporphyrinogen-III synthase
P10768,ESD,S-formylglutathione hydrolase
P11166,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1"
P11169,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3"
P11177,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
P11216,PYGB,"Glycogen phosphorylase, brain form"
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase
P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic"
P12018,VPREB1,Immunoglobulin iota chain
P12081,HARS1,"Histidine--tRNA ligase, cytoplasmic"
P12107,COL11A1,Collagen alpha-1(XI) chain
P12829,MYL4,Myosin light chain 4
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src
P13073,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
P13639,EEF2,Elongation factor 2
P13798,APEH,Acylamino-acid-releasing enzyme
P13929,ENO3,Beta-enolase
P13942,COL11A2,Collagen alpha-2(XI) chain
P14550,AKR1A1,Aldo-keto reductase family 1 member A1
P16452,EPB42,Protein 4.2
P16949,STMN1,Stathmin
P17980,PSMC3,26S proteasome regulatory subunit 6A
P17987,TCP1,T-complex protein 1 subunit alpha
P19784,CSNK2A2,Casein kinase II subunit alpha'
P20073,ANXA7,Annexin A7
P21266,GSTM3,Glutathione S-transferase Mu 3
P21980,TGM2,Protein-glutamine gamma-glutamyltransferase 2
P23229,ITGA6,Integrin alpha-6
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta
P24534,EEF1B2,Elongation factor 1-beta
P25325,MPST,3-mercaptopyruvate sulfurtransferase
P25705,ATP5F1A,"ATP synthase F(1) complex subunit alpha, mitochondrial"
P26641,EEF1G,Elongation factor 1-gamma
P27105,STOM,Stomatin
P27348,YWHAQ,14-3-3 protein theta
P28070,PSMB4,Proteasome subunit beta type-4
P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6
P29692,EEF1D,Elongation factor 1-delta
P30085,CMPK1,UMP-CMP kinase
P30153,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
P30530,AXL,Tyrosine-protein kinase receptor UFO
P30613,PKLR,Pyruvate kinase PKLR
P31150,GDI1,Rab GDP dissociation inhibitor alpha
P32754,HPD,4-hydroxyphenylpyruvate dioxygenase
P33241,LSP1,Lymphocyte-specific protein 1
P34932,HSPA4,Heat shock 70 kDa protein 4
P34949,MPI,Mannose-6-phosphate isomerase
P35237,SERPINB6,Serpin B6
P35241,RDX,Radixin
P35580,MYH10,Myosin-10
P35611,ADD1,Alpha-adducin
P35612,ADD2,Beta-adducin
P35813,PPM1A,Protein phosphatase 1A
P36222,CHI3L1,Chitinase-3-like protein 1
P36871,PGM1,Phosphoglucomutase-1
P40926,MDH2,"Malate dehydrogenase, mitochondrial"
P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit beta
P46776,RPL27A,Large ribosomal subunit protein uL15
P47756,CAPZB,F-actin-capping protein subunit beta
P48058,GRIA4,Glutamate receptor 4
P48059,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
P49327,FASN,Fatty acid synthase
P49368,CCT3,T-complex protein 1 subunit gamma
P49720,PSMB3,Proteasome subunit beta type-3
P49746,THBS3,Thrombospondin-3
P49755,TMED10,Transmembrane emp24 domain-containing protein 10
P50749,RASSF2,Ras association domain-containing protein 2
P50990,CCT8,T-complex protein 1 subunit theta
P50991,CCT4,T-complex protein 1 subunit delta
P51572,BCAP31,B-cell receptor-associated protein 31
P51693,APLP1,Amyloid beta precursor like protein 1
P53004,BLVRA,Biliverdin reductase A
P53396,ACLY,ATP-citrate synthase
P53602,MVD,Diphosphomevalonate decarboxylase
P54577,YARS1,"Tyrosine--tRNA ligase, cytoplasmic"
P54578,USP14,Ubiquitin carboxyl-terminal hydrolase 14
P54652,HSPA2,Heat shock-related 70 kDa protein 2
P54920,NAPA,Alpha-soluble NSF attachment protein
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor
P55286,CDH8,Cadherin-8
P55291,CDH15,Cadherin-15
P55786,NPEPPS,Puromycin-sensitive aminopeptidase
P58062,SPINK7,Serine protease inhibitor Kazal-type 7
P60520,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2
P60891,PRPS1,Ribose-phosphate pyrophosphokinase 1
P60981,DSTN,Destrin
P61081,UBE2M,NEDD8-conjugating enzyme Ubc12
P61106,RAB14,Ras-related protein Rab-14
P61158,ACTR3,Actin-related protein 3
P61160,ACTR2,Actin-related protein 2
P61981,YWHAG,14-3-3 protein gamma
P62191,PSMC1,26S proteasome regulatory subunit 4
P62879,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
P62906,RPL10A,Large ribosomal subunit protein uL1
P78371,CCT2,T-complex protein 1 subunit beta
P81172,HAMP,Hepcidin
Q00610,CLTC,Clathrin heavy chain 1
Q02094,RHAG,Ammonium transporter Rh type A
Q02556,IRF8,Interferon regulatory factor 8
Q04917,YWHAH,14-3-3 protein eta
Q05193,DNM1,Dynamin-1
Q05397,PTK2,Focal adhesion kinase 1
Q05682,CALD1,Caldesmon
Q08257,CRYZ,Zeta-crystallin
Q09028,RBBP4,Histone-binding protein RBBP4
Q12802,AKAP13,A-kinase anchor protein 13
Q12918,KLRB1,Killer cell lectin-like receptor subfamily B member 1
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1
Q13442,PDAP1,28 kDa heat- and acid-stable phosphoprotein
Q14012,CAMK1,Calcium/calmodulin-dependent protein kinase type 1
Q14055,COL9A2,Collagen alpha-2(IX) chain
Q14974,KPNB1,Importin subunit beta-1
Q14982,OPCML,Opioid-binding protein/cell adhesion molecule
Q15370,ELOB,Elongin-B
Q15517,CDSN,Corneodesmosin
Q15833,STXBP2,Syntaxin-binding protein 2
Q16181,SEPTIN7,Septin-7
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5
Q16539,MAPK14,Mitogen-activated protein kinase 14
Q16674,MIA,Melanoma-derived growth regulatory protein
Q4KMG0,CDON,Cell adhesion molecule-related/down-regulated by oncogenes
Q4VNC0,ATP13A5,Probable cation-transporting ATPase 13A5
Q587J7,TDRD12,Putative ATP-dependent RNA helicase TDRD12
Q5BLP8,NICOL1,NELL2-interacting cell ontogeny regulator 1
Q5R3I4,TTC38,Tetratricopeptide repeat protein 38
Q5VWX1,KHDRBS2,"KH domain-containing, RNA-binding, signal transduction-associated protein 2"
Q5ZPR3,CD276,CD276 antigen
Q6GTS8,PM20D1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1
Q6ICL3,TANGO2,Transport and Golgi organization protein 2 homolog
Q6UXD5,SEZ6L2,Seizure 6-like protein 2
Q7Z4R8,C6orf120,UPF0669 protein C6orf120
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1
Q86Z14,KLB,Beta-klotho
Q8N2S1,LTBP4,Latent-transforming growth factor beta-binding protein 4
Q8N3T6,TMEM132C,Transmembrane protein 132C
Q8N423,LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2
Q8TEU8,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"
Q8WTU2,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein
Q92973,TNPO1,Transportin-1
Q969H8,MYDGF,Myeloid-derived growth factor
Q969T9,WBP2,WW domain-binding protein 2
Q96B01,RAD51AP1,RAD51-associated protein 1
Q96C24,SYTL4,Synaptotagmin-like protein 4
Q96D15,RCN3,Reticulocalbin-3
Q96FW1,OTUB1,Ubiquitin thioesterase OTUB1
Q96GD0,PDXP,Chronophin
Q96HC4,PDLIM5,PDZ and LIM domain protein 5
Q96IJ6,GMPPA,Mannose-1-phosphate guanylyltransferase regulatory subunit alpha
Q96IU4,ABHD14B,Putative protein-lysine deacylase ABHD14B
Q96KP4,CNDP2,Cytosolic non-specific dipeptidase
Q96N76,UROC1,Urocanate hydratase
Q96PL1,SCGB3A2,Secretoglobin family 3A member 2
Q96TA1,NIBAN2,Protein Niban 2
Q99435,NELL2,Protein kinase C-binding protein NELL2
Q99715,COL12A1,Collagen alpha-1(XII) chain
Q99733,NAP1L4,Nucleosome assembly protein 1-like 4
Q99999,GAL3ST1,Galactosylceramide sulfotransferase
Q9BT09,CNPY3,Protein canopy homolog 3
Q9BYE9,CDHR2,Cadherin-related family member 2
Q9BYH1,SEZ6L,Seizure 6-like protein
Q9C0C9,UBE2O,(E3-independent) E2 ubiquitin-conjugating enzyme
Q9H0R4,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2
Q9H270,VPS11,Vacuolar protein sorting-associated protein 11 homolog
Q9H7V2,SYNDIG1,Synapse differentiation-inducing gene protein 1
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4
Q9NP70,AMBN,Ameloblastin
Q9NR45,NANS,N-acetylneuraminate-9-phosphate synthase
Q9NRR1,CYTL1,Cytokine-like protein 1
Q9NSD9,FARSB,Phenylalanine--tRNA ligase beta subunit
Q9NT22,EMILIN3,EMILIN-3
Q9NTK5,OLA1,Obg-like ATPase 1
Q9NY33,DPP3,Dipeptidyl peptidase 3
Q9NZC9,SMARCAL1,SNF2 related chromatin remodeling annealing helicase 1
Q9P121,NTM,Neurotrimin
Q9P258,RCC2,Protein RCC2
Q9UBB5,MBD2,Methyl-CpG-binding domain protein 2
Q9UIA9,XPO7,Exportin-7
Q9UJC5,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2
Q9UKU9,ANGPTL2,Angiopoietin-related protein 2
Q9UKX5,ITGA11,Integrin alpha-11
Q9UL46,PSME2,Proteasome activator complex subunit 2
Q9ULV4,CORO1C,Coronin-1C
Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2
Q9UNZ2,NSFL1C,NSFL1 cofactor p47
Q9UPN3,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5"
Q9UPZ3,HPS5,BLOC-2 complex member HPS5
Q9UQ52,CNTN6,Contactin-6
Q9UQ80,PA2G4,Proliferation-associated protein 2G4
Q9Y251,HPSE,Heparanase
Q9Y2I7,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase
Q9Y3B8,REXO2,"Oligoribonuclease, mitochondrial"
Q9Y3I1,FBXO7,F-box only protein 7
Q9Y446,PKP3,Plakophilin-3
Q9Y570,PPME1,Protein phosphatase methylesterase 1
Q9Y617,PSAT1,Phosphoserine aminotransferase
Q9Y6E0,STK24,Serine/threonine-protein kinase 24
A0A0C4DH39,IGHV1-58,Immunoglobulin heavy variable 1-58
A0A0C4DH69,IGKV1-9,Immunoglobulin kappa variable 1-9
A6NIV6,LRRIQ4,Leucine-rich repeat and IQ domain-containing protein 4
O00139,KIF2A,Kinesin-like protein KIF2A
O00754,MAN2B1,Lysosomal alpha-mannosidase
O14773,TPP1,Tripeptidyl-peptidase 1
O15117,FYB1,FYN-binding protein 1
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2
O43665,RGS10,Regulator of G-protein signaling 10
O60678,PRMT3,Protein arginine N-methyltransferase 3
O75356,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5
O75563,SKAP2,Src kinase-associated phosphoprotein 2
O75608,LYPLA1,Acyl-protein thioesterase 1
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J
O94979,SEC31A,Protein transport protein Sec31A
O95998,IL18BP,Interleukin-18-binding protein
P01242,GH2,Growth hormone variant
P01824,IGHV4-39,Immunoglobulin heavy variable 4-39
P04083,ANXA1,Annexin A1
P05019,IGF1,Insulin-like growth factor 1
P06331,IGHV4-34,Immunoglobulin heavy variable 4-34
P08254,MMP3,Stromelysin-1
P08648,ITGA5,Integrin alpha-5
P12429,ANXA3,Annexin A3
P14317,HCLS1,Hematopoietic lineage cell-specific protein
P17050,NAGA,Alpha-N-acetylgalactosaminidase
P23468,PTPRD,Receptor-type tyrosine-protein phosphatase delta
P36952,SERPINB5,Serpin B5
P46109,CRKL,Crk-like protein
P48444,ARCN1,Coatomer subunit delta
P50225,SULT1A1,Sulfotransferase 1A1
P51149,RAB7A,Ras-related protein Rab-7a
P55209,NAP1L1,Nucleosome assembly protein 1-like 1
P55957,BID,BH3-interacting domain death agonist
P62330,ARF6,ADP-ribosylation factor 6
Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U
Q07021,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial"
Q15818,NPTX1,Neuronal pentraxin-1
Q16762,TST,Thiosulfate sulfurtransferase
Q495D7,LINC01559,Putative uncharacterized protein encoded by LINC01559
Q6IBS0,TWF2,Twinfilin-2
Q70CQ1,USP49,Ubiquitin carboxyl-terminal hydrolase 49
Q8NBJ7,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2
Q96A26,FAM162A,Protein FAM162A
Q96C90,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B
Q96DZ9,CMTM5,CKLF-like MARVEL transmembrane domain-containing protein 5
Q99460,PSMD1,26S proteasome non-ATPase regulatory subunit 1
Q99685,MGLL,Monoglyceride lipase
Q9BPX5,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein
Q9BTU6,PI4K2A,Phosphatidylinositol 4-kinase type 2-alpha
Q9BVK6,TMED9,Transmembrane emp24 domain-containing protein 9
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic"
Q9H0X4,FAM234A,Protein FAM234A
Q9H4A4,RNPEP,Aminopeptidase B
Q9NTJ5,SACM1L,Phosphatidylinositol-3-phosphatase SAC1
Q9UDX3,SEC14L4,SEC14-like protein 4
Q9UIF3,TEKT2,Tektin-2
O00408,PDE2A,"cGMP-dependent 3',5'-cyclic phosphodiesterase"
O00410,IPO5,Importin-5
O00743,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit
O15127,SCAMP2,Secretory carrier-associated membrane protein 2
O43681,GET3,ATPase GET3
O60610,DIAPH1,Protein diaphanous homolog 1
O75064,DENND4B,DENN domain-containing protein 4B
O75116,ROCK2,Rho-associated protein kinase 2
O95696,BRD1,Bromodomain-containing protein 1
P04440,HLA-DPB1,"HLA class II histocompatibility antigen, DP beta 1 chain"
P05387,RPLP2,Large ribosomal subunit protein P2
P08243,ASNS,Asparagine synthetase [glutamine-hydrolyzing]
P11678,EPX,Eosinophil peroxidase
P12724,RNASE3,Eosinophil cationic protein
P16401,H1-5,Histone H1.5
P17213,BPI,Bactericidal permeability-increasing protein
P23378,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial"
P23919,DTYMK,Thymidylate kinase
P28289,TMOD1,Tropomodulin-1
P30050,RPL12,Large ribosomal subunit protein uL11
P35754,GLRX,Glutaredoxin-1
P36578,RPL4,Large ribosomal subunit protein uL4
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5
P46060,RANGAP1,Ran GTPase-activating protein 1
P46734,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3
P48643,CCT5,T-complex protein 1 subunit epsilon
P55060,CSE1L,Exportin-2
P60866,RPS20,Small ribosomal subunit protein uS10
P61163,ACTR1A,Alpha-centractin
P62269,RPS18,Small ribosomal subunit protein uS13
P63220,RPS21,Small ribosomal subunit protein eS21
P68036,UBE2L3,Ubiquitin-conjugating enzyme E2 L3
Q00013,MPP1,55 kDa erythrocyte membrane protein
Q12889,OVGP1,Oviduct-specific glycoprotein
Q12906,ILF3,Interleukin enhancer-binding factor 3
Q12982,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
Q15366,PCBP2,Poly(rC)-binding protein 2
Q16555,DPYSL2,Dihydropyrimidinase-related protein 2
Q16775,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial"
Q56UN5,MAP3K19,Mitogen-activated protein kinase kinase kinase 19
Q5JST6,EFHC2,EF-hand domain-containing family member C2
Q5XPI4,RNF123,E3 ubiquitin-protein ligase RNF123
Q6GMV3,PTRHD1,Putative peptidyl-tRNA hydrolase PTRHD1
Q6PCE3,PGM2L1,"Glucose 1,6-bisphosphate synthase"
Q86VH2,KIF27,Kinesin-like protein KIF27
Q8ND82,ZNF280C,Zinc finger protein 280C
Q8WXF7,ATL1,Atlastin-1
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B
Q99832,CCT7,T-complex protein 1 subunit eta
Q9BR76,CORO1B,Coronin-1B
Q9BS40,LXN,Latexin
Q9BXD5,NPL,N-acetylneuraminate lyase
Q9BZQ8,NIBAN1,Protein Niban 1
Q9H4A3,WNK1,Serine/threonine-protein kinase WNK1
Q9HC84,MUC5B,Mucin-5B
Q9NRV9,HEBP1,Heme-binding protein 1
Q9Y5K6,CD2AP,CD2-associated protein
Q9Y5P6,GMPPB,Mannose-1-phosphate guanylyltransferase catalytic subunit beta
O95881,TXNDC12,Thioredoxin domain-containing protein 12
P13646,KRT13,"Keratin, type I cytoskeletal 13"
Q13046,PSG7,Pregnancy-specific beta-1-glycoprotein 7
Q14005,IL16,Pro-interleukin-16
Q14BN4,SLMAP,Sarcolemmal membrane-associated protein
Q6PIW4,FIGNL1,Fidgetin-like protein 1
Q6ZP01,RBM44,RNA-binding protein 44
Q6ZTQ3,RASSF6,Ras association domain-containing protein 6
Q7L5L3,GDPD3,Lysophospholipase D GDPD3
Q8IV36,HID1,Protein HID1
Q8N1I0,DOCK4,Dedicator of cytokinesis protein 4
Q8NFW5,DMBX1,Diencephalon/mesencephalon homeobox protein 1
Q92686,NRGN,Neurogranin
Q96DR8,MUCL1,Mucin-like protein 1
Q96JG9,ZNF469,Zinc finger protein 469
Q9BYX4,IFIH1,Interferon-induced helicase C domain-containing protein 1
Q9BZD4,NUF2,Kinetochore protein Nuf2
Q9HA90,EFCC1,EF-hand and coiled-coil domain-containing protein 1
Q9HAT2,SIAE,Sialate O-acetylesterase
Q9P260,RELCH,RAB11-binding protein RELCH
Q9Y6M4,CSNK1G3,Casein kinase I isoform gamma-3
O00161,SNAP23,Synaptosomal-associated protein 23
O43399,TPD52L2,Tumor protein D54
O43639,NCK2,Cytoplasmic protein NCK2
O75629,CREG1,Protein CREG1
O75791,GRAP2,GRB2-related adapter protein 2
O76076,CCN5,CCN family member 5
P05787,KRT8,"Keratin, type II cytoskeletal 8"
P09496,CLTA,Clathrin light chain A
P14061,HSD17B1,17-beta-hydroxysteroid dehydrogenase type 1
P15309,ACP3,Prostatic acid phosphatase
P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"
P20827,EFNA1,Ephrin-A1
P20962,PTMS,Parathymosin
P26599,PTBP1,Polypyrimidine tract-binding protein 1
P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2
P29218,IMPA1,Inositol monophosphatase 1
P49591,SARS1,"Serine--tRNA ligase, cytoplasmic"
P50995,ANXA11,Annexin A11
P54136,RARS1,"Arginine--tRNA ligase, cytoplasmic"
P54727,RAD23B,Lysine-specific demethylase RAD23B
P55010,EIF5,Eukaryotic translation initiation factor 5
P61758,VBP1,Prefoldin subunit 3
P62244,RPS15A,Small ribosomal subunit protein uS8
P63279,UBE2I,SUMO-conjugating enzyme UBC9
P80217,IFI35,Interferon-induced 35 kDa protein
Q00688,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3
Q08209,PPP3CA,Protein phosphatase 3 catalytic subunit alpha
Q0ZGT2,NEXN,Nexilin
Q13043,STK4,Serine/threonine-protein kinase 4
Q13423,NNT,"NAD(P) transhydrogenase, mitochondrial"
Q13613,MTMR1,Phosphatidylinositol-3-phosphate phosphatase MTMR1
Q14116,IL18,Interleukin-18
Q14141,SEPTIN6,Septin-6
Q14554,PDIA5,Protein disulfide-isomerase A5
Q15047,SETDB1,Histone-lysine N-methyltransferase SETDB1
Q15056,EIF4H,Eukaryotic translation initiation factor 4H
Q15126,PMVK,Phosphomevalonate kinase
Q15843,NEDD8,Ubiquitin-like protein NEDD8
Q5JSH3,WDR44,WD repeat-containing protein 44
Q5VUR7,ANKRD20A3P,Putative ankyrin repeat domain-containing protein 20A3
Q7LDG7,RASGRP2,RAS guanyl-releasing protein 2
Q86YL5,TDRP,Testis development-related protein
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9
Q8WZA0,LZIC,Protein LZIC
Q92890,UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1
Q96A49,SYAP1,Synapse-associated protein 1
Q96PI1,SPRR4,Small proline-rich protein 4
Q99542,MMP19,Matrix metalloproteinase-19
Q9BUL8,PDCD10,Programmed cell death protein 10
Q9C099,LRRCC1,Leucine-rich repeat and coiled-coil domain-containing protein 1
Q9H159,CDH19,Cadherin-19
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3
Q9H444,CHMP4B,Charged multivesicular body protein 4b
Q9H4X1,RGCC,Regulator of cell cycle RGCC
Q9H5F2,CFAP68,Cilia- and flagella-associated protein 68
Q9NR99,MXRA5,Matrix-remodeling-associated protein 5
Q9NRZ9,HELLS,Lymphoid-specific helicase
Q9NWV4,CZIB,CXXC motif containing zinc binding protein
Q9NZN3,EHD3,EH domain-containing protein 3
Q9UDY2,TJP2,Tight junction protein 2
Q9UNH7,SNX6,Sorting nexin-6
Q9Y3F4,STRAP,Serine-threonine kinase receptor-associated protein
Q9Y6C2,EMILIN1,EMILIN-1
Q9Y6E2,BZW2,eIF5-mimic protein 1
Q9Y6F6,IRAG1,"Inositol 1,4,5-triphosphate receptor associated 1"
A0PJE2,DHRS12,Dehydrogenase/reductase SDR family member 12
O75718,CRTAP,Cartilage-associated protein
Q14493,SLBP,Histone RNA hairpin-binding protein
Q96CX2,KCTD12,BTB/POZ domain-containing protein KCTD12
Q99829,CPNE1,Copine-1
Q9Y371,SH3GLB1,Endophilin-B1
O15034,RIMBP2,RIMS-binding protein 2
O15067,PFAS,Phosphoribosylformylglycinamidine synthase
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3
O94813,SLIT2,Slit homolog 2 protein
O95196,CSPG5,Chondroitin sulfate proteoglycan 5
O95568,METTL18,Histidine protein methyltransferase 1 homolog
P05413,FABP3,"Fatty acid-binding protein, heart"
P07585,DCN,Decorin
P09497,CLTB,Clathrin light chain B
P11217,PYGM,"Glycogen phosphorylase, muscle form"
P20700,LMNB1,Lamin-B1
P22234,PAICS,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase
P22694,PRKACB,cAMP-dependent protein kinase catalytic subunit beta
P28340,POLD1,DNA polymerase delta catalytic subunit
P30566,ADSL,Adenylosuccinate lyase
P35268,RPL22,Large ribosomal subunit protein eL22
P36543,ATP6V1E1,V-type proton ATPase subunit E 1
P39687,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A
P46783,RPS10,Small ribosomal subunit protein eS10
P62195,PSMC5,26S proteasome regulatory subunit 8
P62851,RPS25,Small ribosomal subunit protein eS25
P62917,RPL8,Large ribosomal subunit protein uL2
Q05519,SRSF11,Serine/arginine-rich splicing factor 11
Q07020,RPL18,Large ribosomal subunit protein eL18
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0
Q15185,PTGES3,Prostaglandin E synthase 3
Q16531,DDB1,DNA damage-binding protein 1
Q16819,MEP1A,Meprin A subunit alpha
Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic"
Q53EL9,SEZ6,Seizure protein 6 homolog
Q8IVU1,IGDCC3,Immunoglobulin superfamily DCC subclass member 3
Q8IXR9,C12orf56,Uncharacterized protein C12orf56
Q8N766,EMC1,ER membrane protein complex subunit 1
Q92597,NDRG1,Protein NDRG1
Q92598,HSPH1,Heat shock protein 105 kDa
Q96AC1,FERMT2,Fermitin family homolog 2
Q96F85,CNRIP1,CB1 cannabinoid receptor-interacting protein 1
Q9BUF5,TUBB6,Tubulin beta-6 chain
Q9GZP4,PITHD1,PITH domain-containing protein 1
Q9H094,NBPF3,NBPF family member NBPF3
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2
Q9NQI0,DDX4,Probable ATP-dependent RNA helicase DDX4
