accession,gene,name
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1
O15240,VGF,Neurosecretory protein VGF
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5
O43768,ENSA,Alpha-endosulfine
O60645,EXOC3,Exocyst complex component 3
O60664,PLIN3,Perilipin-3
O60667,FCMR,Immunoglobulin mu Fc receptor
O60888,CUTA,Protein CutA
O75366,AVIL,Advillin
O75635,SERPINB7,Serpin B7
O94769,ECM2,Extracellular matrix protein 2
O94919,ENDOD1,Endonuclease domain-containing 1 protein
P01040,CSTA,Cystatin-A
P01130,LDLR,Low-density lipoprotein receptor
P01210,PENK,Proenkephalin-A
P01601,IGKV1D-16,Immunoglobulin kappa variable 1D-16
P01705,IGLV2-23,Immunoglobulin lambda variable 2-23
P01814,IGHV2-70,Immunoglobulin heavy variable 2-70
P01854,IGHE,Immunoglobulin heavy constant epsilon
P01880,IGHD,Immunoglobulin heavy constant delta
P02533,KRT14,"Keratin, type I cytoskeletal 14"
P02538,KRT6A,"Keratin, type II cytoskeletal 6A"
P02794,FTH1,Ferritin heavy chain
P04259,KRT6B,"Keratin, type II cytoskeletal 6B"
P04264,KRT1,"Keratin, type II cytoskeletal 1"
P04746,AMY2A,Pancreatic alpha-amylase
P05060,CHGB,Secretogranin-1
P05089,ARG1,Arginase-1
P05186,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme"
P05976,MYL1,"Myosin light chain 1/3, skeletal muscle isoform"
P05981,HPN,Serine protease hepsin
P07108,DBI,Acyl-CoA-binding protein
P07711,CTSL,Procathepsin L
P07741,APRT,Adenine phosphoribosyltransferase
P07902,GALT,Galactose-1-phosphate uridylyltransferase
P08779,KRT16,"Keratin, type I cytoskeletal 16"
P09417,QDPR,Dihydropteridine reductase
P0C7X3,CCNYL3,Putative cyclin-Y-like protein 3
P0DP01,IGHV1-8,Immunoglobulin heavy variable 1-8
P0DP57,SLURP2,Secreted Ly-6/uPAR domain-containing protein 2
P11940,PABPC1,Polyadenylate-binding protein 1
P12277,CKB,Creatine kinase B-type
P13645,KRT10,"Keratin, type I cytoskeletal 10"
P13647,KRT5,"Keratin, type II cytoskeletal 5"
P15311,EZR,Ezrin
P15509,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
P15586,GNS,N-acetylglucosamine-6-sulfatase
P15941,MUC1,Mucin-1
P16581,SELE,E-selectin
P17948,FLT1,Vascular endothelial growth factor receptor 1
P18669,PGAM1,Phosphoglycerate mutase 1
P20142,PGC,Gastricsin
P20810,CAST,Calpastatin
P20908,COL5A1,Collagen alpha-1(V) chain
P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1
P24844,MYL9,Myosin regulatory light polypeptide 9
P26022,PTX3,Pentraxin-related protein PTX3
P26992,CNTFR,Ciliary neurotrophic factor receptor subunit alpha
P27824,CANX,Calnexin
P27930,IL1R2,Interleukin-1 receptor type 2
P28074,PSMB5,Proteasome subunit beta type-5
P28161,GSTM2,Glutathione S-transferase Mu 2
P29144,TPP2,Tripeptidyl-peptidase 2
P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate
P30273,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma
P31939,ATIC,Bifunctional purine biosynthesis protein ATIC
P31948,STIP1,Stress-induced-phosphoprotein 1
P35052,GPC1,Glypican-1
P35527,KRT9,"Keratin, type I cytoskeletal 9"
P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal"
P36269,GGT5,Glutathione hydrolase 5 proenzyme
P37235,HPCAL1,Hippocalcin-like protein 1
P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase
P40200,CD96,T-cell surface protein tactile
P41218,MNDA,Myeloid cell nuclear differentiation antigen
P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial"
P43307,SSR1,Translocon-associated protein subunit alpha
P49247,RPIA,Ribose-5-phosphate isomerase
P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic"
P49593,PPM1F,Protein phosphatase 1F
P50120,RBP2,Retinol-binding protein 2
P50453,SERPINB9,Serpin B9
P50552,VASP,Vasodilator-stimulated phosphoprotein
P51161,FABP6,Gastrotropin
P51587,BRCA2,Breast cancer type 2 susceptibility protein
P52566,ARHGDIB,Rho GDP-dissociation inhibitor 2
P53621,COPA,Coatomer subunit alpha
P53634,CTSC,Dipeptidyl peptidase 1
P54764,EPHA4,Ephrin type-A receptor 4
P55259,GP2,Pancreatic secretory granule membrane major glycoprotein GP2
P55287,CDH11,Cadherin-11
P60660,MYL6,Myosin light polypeptide 6
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K
P62136,PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
P78504,JAG1,Protein jagged-1
P79483,HLA-DRB3,"HLA class II histocompatibility antigen, DR beta 3 chain"
Q01518,CAP1,Adenylyl cyclase-associated protein 1
Q02487,DSC2,Desmocollin-2
Q04695,KRT17,"Keratin, type I cytoskeletal 17"
Q08495,DMTN,Dematin
Q13113,PDZK1IP1,PDZK1-interacting protein 1
Q13421,MSLN,Mesothelin
Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta
Q13637,RAB32,Ras-related protein Rab-32
Q13769,THOC5,THO complex subunit 5
Q14112,NID2,Nidogen-2
Q14134,TRIM29,Tripartite motif-containing protein 29
Q14247,CTTN,Src substrate cortactin
Q14623,IHH,Indian hedgehog protein
Q15084,PDIA6,Protein disulfide-isomerase A6
Q15121,PEA15,Astrocytic phosphoprotein PEA-15
Q15435,PPP1R7,Protein phosphatase 1 regulatory subunit 7
Q15465,SHH,Sonic hedgehog protein
Q15477,SKIC2,Superkiller complex protein 2
Q15746,MYLK,"Myosin light chain kinase, smooth muscle"
Q15811,ITSN1,Intersectin-1
Q16651,PRSS8,Prostasin
Q3LXA3,TKFC,Triokinase/FMN cyclase
Q495W5,POFUT4,GDP-fucose protein O-fucosyltransferase 4
Q5D862,FLG2,Filaggrin-2
Q5T2D2,TREML2,Trem-like transcript 2 protein
Q6GTX8,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1
Q6UWP2,DHRS11,Dehydrogenase/reductase SDR family member 11
Q6UXI9,NPNT,Nephronectin
Q6WN34,CHRDL2,Chordin-like protein 2
Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34
Q7Z2Y5,NRK,Nik-related protein kinase
Q7Z3G6,PRICKLE2,Prickle-like protein 2
Q7Z5L0,VMO1,Vitelline membrane outer layer protein 1 homolog
Q86WI1,PKHD1L1,Fibrocystin-L
Q8IW75,SERPINA12,Serpin A12
Q8IYM9,TRIM22,E3 ubiquitin-protein ligase TRIM22
Q8IYX8,CEP57L1,Centrosomal protein CEP57L1
Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1
Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein
Q8N0U7,C1orf87,Uncharacterized protein C1orf87
Q8N149,LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2
Q8N387,MUC15,Mucin-15
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5
Q8NCL4,GALNT6,Polypeptide N-acetylgalactosaminyltransferase 6
Q8NEN9,PDZD8,PDZ domain-containing protein 8
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein
Q8WWI5,SLC44A1,Choline transporter-like protein 1
Q8WWQ8,STAB2,Stabilin-2
Q8WXD2,SCG3,Secretogranin-3
Q96AP7,ESAM,Endothelial cell-selective adhesion molecule
Q96C34,RUNDC1,RUN domain-containing protein 1
Q96M83,CCDC7,Coiled-coil domain-containing protein 7
Q96P63,SERPINB12,Serpin B12
Q96RD9,FCRL5,Fc receptor-like protein 5
Q99439,CNN2,Calponin-2
Q99941,ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta
